
------------Variable------------
Neural name	4-4-1
Activation func	tanh
Learning rate	0.2
Momentum	0.3
7.7 3.0 6.1 2.3 	[ 2.9596294525] 	3
5.1 3.8 1.5 0.3 	[ 0.9778596512] 	1
5.9 3.0 4.2 1.5 	[ 2.1198329239] 	2
6.9 3.2 5.7 2.3 	[ 2.9594763815] 	3
6.3 2.9 5.6 1.8 	[ 2.9585762876] 	3
7.1 3.0 5.9 2.1 	[ 2.9593511999] 	3
5.5 2.6 4.4 1.2 	[ 2.4698709783] 	2
6.4 2.8 5.6 2.1 	[ 2.9592012238] 	3
7.0 3.2 4.7 1.4 	[ 2.0992002874] 	2
4.5 2.3 1.3 0.3 	[ 1.0942216996] 	1
5.1 3.7 1.5 0.4 	[ 0.9915461202] 	1
5.6 3.0 4.5 1.5 	[ 2.6549387140] 	2
6.3 2.5 4.9 1.5 	[ 2.8821957113] 	2
5.5 2.4 3.8 1.1 	[ 2.0548352267] 	2
5.2 2.7 3.9 1.4 	[ 2.2346039775] 	2
5.1 3.8 1.6 0.2 	[ 0.9731621119] 	1
5.8 2.6 4.0 1.2 	[ 2.0719669001] 	2
5.5 2.3 4.0 1.3 	[ 2.2683719981] 	2
5.4 3.4 1.5 0.4 	[ 1.0170805617] 	1
4.9 2.5 4.5 1.7 	[ 2.9564674114] 	3
5.1 2.5 3.0 1.1 	[ 1.9375917884] 	2
6.0 3.4 4.5 1.6 	[ 2.1630401832] 	2
5.7 4.4 1.5 0.4 	[ 0.9736306289] 	1
7.2 3.6 6.1 2.5 	[ 2.9598823327] 	3
6.7 3.0 5.2 2.3 	[ 2.9580032392] 	3
5.8 2.7 4.1 1.0 	[ 2.0381317943] 	2
6.7 3.1 4.4 1.4 	[ 2.0884534710] 	2
5.6 2.8 4.9 2.0 	[ 2.9583347158] 	3
5.5 2.4 3.7 1.0 	[ 2.0248787226] 	2
5.1 3.4 1.5 0.2 	[ 0.9864907140] 	1
5.6 2.5 3.9 1.1 	[ 2.0552886654] 	2
6.0 2.7 5.1 1.6 	[ 2.9538826087] 	2
6.6 3.0 4.4 1.4 	[ 2.0940741394] 	2
6.1 2.8 4.7 1.2 	[ 2.2106688929] 	2
6.1 2.6 5.6 1.4 	[ 2.9572704052] 	3
5.6 2.9 3.6 1.3 	[ 2.0189655606] 	2
6.7 3.1 4.7 1.5 	[ 2.1239987658] 	2
6.7 3.1 5.6 2.4 	[ 2.9596482936] 	3
6.2 2.8 4.8 1.8 	[ 2.9205023966] 	3
7.7 3.8 6.7 2.2 	[ 2.9597480184] 	3
6.5 2.8 4.6 1.5 	[ 2.1795243252] 	2
4.9 3.6 1.4 0.1 	[ 0.9622997068] 	1
6.7 3.3 5.7 2.1 	[ 2.9589280690] 	3
5.0 3.5 1.6 0.6 	[ 1.0429192137] 	1
4.8 3.4 1.9 0.2 	[ 1.0030861675] 	1
5.0 3.5 1.3 0.3 	[ 0.9811007169] 	1
6.0 2.2 4.0 1.0 	[ 2.0694487026] 	2
6.3 3.4 5.6 2.4 	[ 2.9595458898] 	3
6.1 2.9 4.7 1.4 	[ 2.3675998642] 	2
4.6 3.1 1.5 0.2 	[ 0.9921337187] 	1
6.2 2.9 4.3 1.3 	[ 2.0853160782] 	2
5.2 3.5 1.5 0.2 	[ 0.9834468896] 	1
6.5 3.2 5.1 2.0 	[ 2.9370146446] 	3
6.9 3.1 5.4 2.1 	[ 2.9536356026] 	3
6.7 3.0 5.0 1.7 	[ 2.5866177324] 	2
6.5 3.0 5.8 2.2 	[ 2.9593923892] 	3
6.0 2.9 4.5 1.5 	[ 2.3182946476] 	2
6.3 2.8 5.1 1.5 	[ 2.9008031379] 	3
7.3 2.9 6.3 1.8 	[ 2.9592144311] 	3
4.4 3.0 1.3 0.2 	[ 0.9793347026] 	1
6.3 2.3 4.4 1.3 	[ 2.1800861937] 	2
5.4 3.9 1.3 0.4 	[ 0.9794456542] 	1
4.4 2.9 1.4 0.2 	[ 0.9934192863] 	1
6.1 3.0 4.9 1.8 	[ 2.9339770319] 	3
7.6 3.0 6.6 2.1 	[ 2.9597376856] 	3
4.8 3.1 1.6 0.2 	[ 1.0059672510] 	1

Error AV 0.0048866221
Accuracy 97.3333%
